source,type,date,topic,notes,access_link
Fulbert of Chartres — Letter on Feudal Obligations (On Fealty),Letter / political theology,1020 AD,Classic statement of mutual duties in feudal oaths,"Fulbert's response to Duke William of Aquitaine; defines what a vassal owes his lord in fealty; crucially introduces *mutuality* — the lord has reciprocal obligations; foundational text for understanding feudal oath theology; brief but dense",https://sourcebooks.web.fordham.edu/source/fulbert1.asp
Anglo-Saxon Form of Oath of Fealty,Legal / customary oath form,c. 10th–11th c. AD,Subject loyalty oath formula,"The actual vernacular oath formula: 'I will be faithful and loyal to N. and love all that he loves and shun all that he shuns...' — the comprehensiveness of the oath (love/shun, not just obey) is theologically significant; predates Norman feudalism and shows the oath tradition has Germanic/Anglo-Saxon roots",https://sourcebooks.fordham.edu/source/feud-oath1.asp
Fealty — Love Loyalty and Choice in Feudalism,historymedieval.com,historymedieval.com,Modern,How a person chose their lord — the voluntary and affective dimension of feudal loyalty,"Key point: entering feudal fealty was not typically compelled but chosen; the vassal selected a lord and offered homage voluntarily. This is critical for the oath theology — the oath is binding precisely *because* it was freely entered. Maps onto the 2 Sam 5 structure where the elders *come to David* and covenant with him",https://historymedieval.com/fealty-love-loyalty-and-choice-in-feudalism
Coronation of the Byzantine Emperor (Grokipedia),Grokipedia,Grokipedia,Reference,Byzantine imperial acclamation ceremony and theological significance,"The emperor was acclaimed by army and senate, then crowned by the Patriarch; the acclamation formula ('axios' — worthy) is the people's recognition of divine appointment, not democratic election. The unction is sacramental: the emperor becomes *christos* (anointed) in a derivative sense. Primary theological source: Eusebius's interpretation of Constantine's sole rule as mirroring divine monarchy",https://grokipedia.com/page/Coronation_of_the_Byzantine_emperor
English Coronation Oath (Leofric Missal form / 1689 statutory form),Coronation liturgy,~973 AD (King Edgar) / 1689,The king's oath to God and people,"Three promises: protect the church; forbid robbery and injustice; maintain justice and mercy. Bilateral: people acclaim; king swears to God. UK Parliament briefing SN00435 surveys all historical forms including the Leofric Missal text (c. 973). Parliament PDF now archived at Wayback Machine",https://web.archive.org/web/20240911012220/https://researchbriefings.files.parliament.uk/documents/SN00435/SN00435.pdf
Fordham Medieval Sourcebook — Feudal Oaths Compilation,Primary source compilation,Various (9th–13th c.),Multiple oath of homage and fealty examples,"Includes multiple examples; best single online collection of feudal oath primary sources",https://sourcebooks.web.fordham.edu/source/feud-oath1.asp
Byzantine Imperial Acclamation and Oath,Coronation liturgy,4th-15th c. AD,Emperor's sacred accession — full ceremony,"The emperor as God's viceroy; acclamation by army and senate; anointing; the oath before God — Byzantine synthesis of Hellenistic and Christian monarchy. See also Grokipedia entry above for overview",https://grokipedia.com/page/Coronation_of_the_Byzantine_emperor
Henry de Bracton — On the Laws and Customs of England,Legal treatise,~1235 AD,The king under God and law,"Key passage vol. 2 p. 33 ll. 8–9: 'Ipse autem rex non debet esse sub homine sed sub deo et sub lege, quia lex facit regem' — 'The king must not be under man but under God and under the law, because law makes the king.' The coronation oath as binding covenant; legal force of royal oaths","Latin: https://amesfoundation.law.harvard.edu/Bracton/Unframed/Latin/v2/33.htm | English: https://amesfoundation.law.harvard.edu/Bracton/Unframed/English/v2/33.htm"
Magna Carta,Charter,1215 AD,Limits on royal power via sworn compact,"Even this constraint document is oath-based not election-based; the oath structure underlies constitutional limitation",,
The Solemn League and Covenant (Scotland),Covenant document,1638 / 1643,Covenantal oath in Reformed context,"National covenant before God including political allegiance to the king under God; Reformed political theology of oaths",,
Visigothic Royal Oath Texts (Toledo Councils),Coronation liturgy,7th c. AD,Early medieval royal oath,"King swears to uphold law and church; bishops witness; one of the earliest formalized royal oath liturgies in the West",,
Assizes of Jerusalem,Feudal law code,1197 AD,Feudal oath structure in Crusader states,"Detailed account of homage and fealty oaths; obligations of king and vassal; breach consequences",,
John Calvin — Institutes of the Christian Religion IV.20,Theological treatise,1559,Magistrates and obedience,"Calvin on civil government; magistrates as God's deputies; the oath of loyalty as morally binding; lesser magistrates",,
GotQuestions.org — What is the Divine Right of Kings?,Modern synthesis,Modern,Scriptural overview of OT monarchy and divine right,"Good introductory synthesis tying OT texts to the divine right tradition",https://www.gotquestions.org/divine-right-kings.html,
